case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20070807070049,0.0,4.0,66.0,,7376886.918478,0,1.0,1.0,1.0,5,5,10,1.0,165.0,1.0,26.6,0,0,"16,16",,2007
20070807070050,0.0,5.0,67.0,,5483264.570762,1,1.0,1.0,1.0,0,0,45,0.0,151.0,0.0,23.6,0,0,,,2007
20070807070055,1.0,3.0,64.0,2.0,80213704.82007399,0,2.0,1.0,1.0,1200,1200,60,1.0,135.0,1.0,23.2,1,1,"1,1,2,2,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,14,14",,2007
20070807070058,0.0,2.0,64.0,,8977755.197239,2,1.0,1.0,1.0,0,0,40,0.0,,0.0,,0,0,,,2007
20070807070062,0.0,4.0,72.0,,9130329.079331,1,1.0,3.0,3.0,0,0,75,0.0,215.0,0.0,29.2,0,0,,,2007
20070807070063,0.0,4.0,74.0,,18959002.935167,0,1.0,1.0,1.0,0,0,30,0.0,200.0,0.0,25.7,0,0,,,2007
20070807070064,0.0,3.0,73.0,1.0,4662982.323829,0,2.0,1.0,1.0,10,480,15,1.0,195.0,1.0,25.7,0,0,"2,7,9,12",,2007
20070807070069,0.0,3.0,70.0,,14983232.098535001,0,1.0,1.0,1.0,185,835,65,1.0,280.0,1.0,40.2,0,1,"2,3,4,6,8,9,10,12,13,13,14",,2007
20070807070074,0.0,5.0,69.0,1.0,11091063.057367,0,2.0,1.0,1.0,0,0,145,0.0,217.0,0.0,32.0,0,0,,,2007
20070807070076,0.0,5.0,69.0,,18052439.931706,2,1.0,1.0,1.0,195,0,170,0.0,205.0,1.0,30.3,0,0,"8,11,25",4.0,2007
20070807070092,0.0,3.0,70.0,,11724098.601915,0,1.0,3.0,3.0,5,10,105,1.0,205.0,1.0,29.4,0,0,"8,11",,2007
20070807070102,0.0,2.0,62.0,2.0,17280194.840314,2,2.0,3.0,1.0,0,0,65,0.0,145.0,0.0,26.5,0,0,,,2007
20070807070106,0.0,3.0,60.0,,5373030.410539,0,1.0,1.0,1.0,45,0,110,0.0,125.0,1.0,24.4,0,0,21,,2007
20070807070111,0.0,4.0,66.0,1.0,21091986.104402,2,2.0,1.0,3.0,220,0,75,0.0,200.0,1.0,32.3,0,0,"2,19",2.0,2007
20070807070113,0.0,2.0,64.0,,12772579.383214999,3,1.0,1.0,1.0,7,120,45,1.0,192.0,1.0,33.0,0,0,"11,11",2.0,2007
20070807070124,0.0,5.0,69.0,,20482209.711156,3,1.0,3.0,3.0,5,1,15,1.0,165.0,1.0,24.4,0,0,"4,4",,2007
20070807070509,0.0,2.0,65.0,,6391269.273469,2,,3.0,3.0,0,0,85,0.0,194.0,0.0,32.3,0,0,,,2007
20070807070510,0.0,3.0,66.0,,2060336.8267970001,2,1.0,1.0,1.0,45,0,146,0.0,320.0,1.0,51.6,0,0,21,,2007
20070807070511,1.0,1.0,63.0,2.0,3193394.596799,0,2.0,3.0,3.0,0,0,30,0.0,170.0,0.0,30.1,0,0,,,2007
20070807070512,0.0,5.0,64.0,,11686295.042713001,0,1.0,1.0,1.0,0,0,105,0.0,230.0,0.0,39.5,0,0,,,2007
20070807070514,0.0,4.0,66.0,,1571073.533486,0,1.0,1.0,1.0,3,10,10,1.0,150.0,1.0,24.2,0,0,"5,12,15,19",,2007
20070807070526,0.0,5.0,68.0,1.0,5069134.031734,2,2.0,2.0,2.0,15,803,75,1.0,145.0,1.0,22.0,0,1,"2,3,4,5,5,7,8,9,10,11,12,14,15,17,18,19,20,21,22,23,24",,2007
20070807070531,0.0,4.0,69.0,,3500070.289936,1,1.0,2.0,2.0,0,0,30,0.0,180.0,0.0,26.6,0,0,,,2007
20070807070534,1.0,2.0,70.0,2.0,10896783.698999,1,2.0,3.0,1.0,0,0,60,0.0,270.0,0.0,38.7,0,0,,,2007
20070807070535,1.0,1.0,69.0,2.0,2166106.525401,0,2.0,1.0,1.0,0,0,30,0.0,250.0,0.0,36.9,0,0,,,2007
20070807070537,0.0,3.0,71.0,,4780677.543858999,1,1.0,3.0,3.0,60,0,15,0.0,200.0,1.0,27.9,0,0,"3,14",,2007
20070807070539,,3.0,64.0,,25050445.088173002,2,,3.0,3.0,30,60,0,1.0,120.0,1.0,20.6,0,0,"8,8",,2007
20070807070543,0.0,3.0,64.0,,2720493.245008,0,1.0,1.0,1.0,0,0,30,0.0,165.0,0.0,28.3,0,0,,,2007
20070807070550,0.0,2.0,57.0,2.0,4062488.307075,2,2.0,1.0,1.0,10,0,30,0.0,150.0,1.0,32.5,0,0,7,,2007
20070807070551,0.0,4.0,71.0,,4316183.156277,0,1.0,1.0,1.0,0,0,12,0.0,249.0,0.0,34.7,0,0,,,2007
20070807070560,0.0,3.0,,,8532856.388532002,3,1.0,1.0,3.0,0,0,45,0.0,165.0,0.0,,0,0,,,2007
20070807070561,0.0,3.0,67.0,,14441854.040076999,2,,1.0,1.0,0,0,75,0.0,,0.0,,0,0,,,2007
20070807070562,0.0,5.0,64.0,1.0,2388720.420194,3,2.0,1.0,1.0,1080,1080,60,1.0,,1.0,,1,1,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,10,10,11,11,12,12,13,13,14,14,15,15,16,16,18,18,19,19,20,20,22,22",2.0,2007
20070807070564,0.0,4.0,67.0,,13753397.26274,0,1.0,1.0,1.0,2,10,90,1.0,195.0,1.0,30.5,0,0,"9,9",,2007
20070807070566,0.0,5.0,70.0,,56389325.467849,1,1.0,3.0,3.0,17,15,90,1.0,165.0,1.0,23.7,0,0,"3,3,13",,2007
20070807070569,0.0,3.0,65.0,1.0,4737425.422173,0,2.0,3.0,2.0,30,30,60,1.0,156.0,1.0,26.0,0,0,"3,3",,2007
20070807070573,1.0,2.0,60.0,1.0,8297274.232147,0,2.0,1.0,2.0,0,0,120,0.0,145.0,0.0,28.3,0,0,,,2007
20070807070575,0.0,4.0,62.0,1.0,2545120.806766,1,2.0,3.0,2.0,15,10,60,1.0,,1.0,,0,0,"7,14,14",2.0,2007
20070807070577,0.0,2.0,72.0,,2253395.104257,0,1.0,1.0,1.0,0,0,5,0.0,180.0,0.0,24.4,0,0,,,2007
